,Postal Code,Borough,Neighborhood,latitude,longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
27,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6485875,-79.3913729,0,Coffee Shop,Gym,Sandwich Place,Park,Ice Cream Shop,Gym / Fitness Center,Seafood Restaurant,Pub,Movie Theater,Mexican Restaurant
28,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6602019,-79.4357191,0,Café,Bar,Coffee Shop,Bakery,Park,Cocktail Bar,Vietnamese Restaurant,Caribbean Restaurant,Beer Bar,Diner
29,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324,2,Coffee Shop,Theater,Fast Food Restaurant,Pub,Grocery Store,Gym,Beer Store,Discount Store,Butcher,Big Box Store
30,M2J,North York,"Fairview, Henry Farm, Oriole",43.777758500000004,-79.34429375180316,0,Coffee Shop,Clothing Store,Restaurant,Japanese Restaurant,Bank,Pharmacy,Electronics Store,Sandwich Place,Liquor Store,Food Court
31,M3J,North York,"Northwood Park, York University",43.7541351,-79.50448,2,Coffee Shop,Caribbean Restaurant,Beer Store,Shopping Mall,Gas Station,Pizza Place,Fast Food Restaurant,Vietnamese Restaurant,Pharmacy,Fried Chicken Joint
32,M4J,East York,"East Toronto, Broadview North (Old East York)",43.6534817,-79.3839347,0,Coffee Shop,Café,Restaurant,Gastropub,Japanese Restaurant,Hotel,Sushi Restaurant,Furniture / Home Store,Tea Room,Theater
33,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6400801,-79.3801495,0,Coffee Shop,Hotel,Café,Park,Gym,Scenic Lookout,Brewery,Japanese Restaurant,Restaurant,Music Venue
34,M6J,West Toronto,"Little Portugal, Trinity",43.64741325,-79.43111632546047,0,Café,Bar,Restaurant,Coffee Shop,Park,Vegetarian / Vegan Restaurant,Korean Restaurant,Gift Shop,French Restaurant,Cocktail Bar
35,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.2539688,2,Fast Food Restaurant,Sports Bar,Train Station,Convenience Store,Pizza Place,Sporting Goods Shop,Discount Store,Grocery Store,Chinese Restaurant,Asian Restaurant
36,M2K,North York,Bayview Village,43.7691966,-79.3766617,0,Furniture / Home Store,Café,Coffee Shop,Clothing Store,Bank,Moving Target,Chinese Restaurant,Liquor Store,Fast Food Restaurant,Spa
37,M3K,North York,Ancaster,43.733449,-79.46564707180451,1,Park,Turkish Restaurant,Coffee Shop,Latin American Restaurant,Electronics Store,Italian Restaurant,Chinese Restaurant,Other Repair Shop,Intersection,Café
38,M4K,East Toronto,"The Danforth West, Riverdale",43.6864333,-79.3003555,1,Coffee Shop,Pizza Place,Park,Bus Line,Ice Cream Shop,Sushi Restaurant,Sandwich Place,Grocery Store,Flower Shop,Asian Restaurant
39,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6473768,-79.3813719429129,0,Coffee Shop,Hotel,Café,Japanese Restaurant,Theater,Concert Hall,Restaurant,Deli / Bodega,Cosmetics Shop,Park
40,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.640292200000005,-79.43729899898156,0,Coffee Shop,Café,Restaurant,Bar,Bakery,Italian Restaurant,Indian Restaurant,Tibetan Restaurant,Pharmacy,Park
41,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7278414,-79.2876217,0,Coffee Shop,Clothing Store,Fast Food Restaurant,Hardware Store,Women's Store,Furniture / Home Store,Sandwich Place,Shopping Plaza,Supermarket,Bank
42,M2L,North York,Silver Hills,43.7612224,-79.3683818,0,Furniture / Home Store,Coffee Shop,Arcade,Bank,Discount Store,Japanese Restaurant,Train Station,Restaurant,Food & Drink Shop,Pub
43,M3L,North York,Jane Sheppard mall,43.7402832,-79.5122198363342,8,Park,Coffee Shop,Gym / Fitness Center,Moving Target,Pizza Place,Shopping Mall,Vietnamese Restaurant,Bank,Yoga Studio,Dongbei Restaurant
44,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64809515,-79.37902543099575,0,Coffee Shop,Café,Hotel,Japanese Restaurant,Restaurant,Gastropub,Concert Hall,Seafood Restaurant,Bakery,Thai Restaurant
45,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7186899,-79.4775337,0,Clothing Store,Coffee Shop,Furniture / Home Store,Women's Store,Vietnamese Restaurant,Gas Station,Carpet Store,Shoe Store,Fast Food Restaurant,Chinese Restaurant
46,M9L,North York,Humber Summit,43.7600778,-79.5717598,9,Sports Bar,Mexican Restaurant,Coffee Shop,Farm,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space
47,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.7111699,-79.2481769,8,Park,Coffee Shop,Sports Bar,Sushi Restaurant,Beach,Sandwich Place,Breakfast Spot,Train Station,Grocery Store,Fish & Chips Shop
48,M2M,North York,Newtonbrook,43.7938863,-79.42567902301055,1,Korean Restaurant,Coffee Shop,Middle Eastern Restaurant,Café,Restaurant,Sandwich Place,Pizza Place,Dessert Shop,Rental Car Location,Grocery Store
49,M3M,North York,Downsview,43.7492988,-79.462248,7,Athletics & Sports,Gym / Fitness Center,Mediterranean Restaurant,Sandwich Place,Shoe Store,French Restaurant,Recreation Center,Basketball Court,Coffee Shop,Gas Station
50,M4M,East Toronto,Studio District,43.64958515,-79.39068322559326,0,Clothing Store,Coffee Shop,Café,Sandwich Place,Yoga Studio,Thai Restaurant,American Restaurant,Art Gallery,Bakery,Baseball Stadium
51,M5M,North York,"Bedford Park, Lawrence Manor East",43.7373876,-79.4109253,1,Coffee Shop,Sushi Restaurant,Sandwich Place,Japanese Restaurant,Italian Restaurant,Pub,Restaurant,Bakery,Pharmacy,Fast Food Restaurant
52,M2N,North York, Willowdale East,43.7615095,-79.4109234,1,Coffee Shop,Bank,Japanese Restaurant,Grocery Store,Sandwich Place,Fast Food Restaurant,Ramen Restaurant,Pizza Place,Middle Eastern Restaurant,Sushi Restaurant
53,M3N,North York,Jane and Finch,43.7572532,-79.5176975,2,Hotel,Grocery Store,Fast Food Restaurant,Pizza Place,Discount Store,Coffee Shop,Theater,Falafel Restaurant,Liquor Store,Fried Chicken Joint
54,M4N,Central Toronto,Lawrence Park,43.729199,-79.4032525,1,Sushi Restaurant,Bakery,Italian Restaurant,Coffee Shop,Cosmetics Shop,Pizza Place,Bank,Asian Restaurant,Grocery Store,Pub
55,M5N,Central Toronto,Roselawn,43.6994563,-79.4546164,1,Furniture / Home Store,Coffee Shop,Park,Pizza Place,Pharmacy,Sandwich Place,Bank,Discount Store,Italian Restaurant,Bakery
56,M6N,York,"Runnymede, The Junction North",43.6517026,-79.4759978,1,Coffee Shop,Café,Pub,Pizza Place,Sushi Restaurant,Italian Restaurant,Bakery,Falafel Restaurant,Baseball Field,Bank
57,M9N,York,Weston,43.7001608,-79.5162474,8,Train Station,Coffee Shop,Park,Convenience Store,Middle Eastern Restaurant,Soccer Field,Skating Rink,Fried Chicken Joint,Laundromat,Sandwich Place
58,M1P,Scarborough,"Scarborough Town Centre,Dorset Park, Wexford Heights",43.7453767,-79.2947155,5,Middle Eastern Restaurant,Pizza Place,Grocery Store,Intersection,Bus Station,Asian Restaurant,Burger Joint,Breakfast Spot,Seafood Restaurant,Moving Target
59,M2P,North York,York Mills West,43.7440391,-79.406657,1,Coffee Shop,Restaurant,Convenience Store,Intersection,Business Service,Food Court,French Restaurant,Sandwich Place,Park,Golf Course
60,M4P,Central Toronto,Davisville North,43.697936,-79.3972908,1,Coffee Shop,Italian Restaurant,Sushi Restaurant,Restaurant,Café,Gym,Park,Gastropub,Pub,Fast Food Restaurant
61,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.701028,-79.4255998,1,Coffee Shop,Trail,Pizza Place,Italian Restaurant,Bank,Middle Eastern Restaurant,Mexican Restaurant,Skating Rink,Café,Frozen Yogurt Shop
62,M6P,West Toronto,"High Park, The Junction South",43.6538668,-79.4668644,1,Coffee Shop,Pizza Place,Park,Café,Pub,Bar,Thai Restaurant,Bakery,Convenience Store,Baseball Field
63,M9P,Etobicoke,Westmount,43.6936399,-79.5210426,8,Pizza Place,Middle Eastern Restaurant,Train Station,Bank,Gas Station,Fried Chicken Joint,Chinese Restaurant,Restaurant,Bakery,Laundromat
64,M1R,Scarborough,"Wexford, Maryvale",43.7453767,-79.2947155,5,Middle Eastern Restaurant,Pizza Place,Grocery Store,Intersection,Bus Station,Asian Restaurant,Burger Joint,Breakfast Spot,Seafood Restaurant,Moving Target
65,M2R,North York,Willowdale West,43.7615095,-79.4109234,1,Coffee Shop,Bank,Japanese Restaurant,Grocery Store,Sandwich Place,Fast Food Restaurant,Ramen Restaurant,Pizza Place,Middle Eastern Restaurant,Sushi Restaurant
