,Postal Code,Borough,Neighborhood,latitude,longitude
81,M1W,Scarborough,L'Amoreaux West,43.8161778,-79.3145378
82,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
83,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.6534817,-79.3839347
84,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
85,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6694032,-79.3727041
86,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6487681,-79.38169179
87,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6473811,-79.5113328
88,M4Y,Downtown Toronto,Church and Wellesley,43.6655242,-79.3838011
89,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6166773,-79.4968048
90,M9M,North York,"Pelmo park, Humbermede",43.7248,-79.5322
91,M8Y,Etobicoke,The Queensway-Humber Bay,43.6363,-79.4985
92,M6C,North York,"Vaughan, Cedervale ,Humewood",43.6938,-79.4282
93,M4E,East York,Beaches,43.6764,-79.293
94,M1N,Scarborough,Birch Cliff,43.6927,-79.2648
95,M5R,Central Toronto,Davenport,43.6732,-79.4277
96,M9N,York,York South-Weston,88,99
97,M3B,North York,Edwards Gardens,0,0
98,M4C,East York,Toronto Danforth,0,0
